brand,model,model_year,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,years_used,capacity,horsepower,cylinder_count,mileage_per_year,mileage_sqrt,mileage_with_age,mileage_per_year_with_age,mileage_brand,mileage,brand_category,log_price,power_to_weight_ratio,brand_frequency,model_frequency,brand_target_enc,model_target_enc,mileage_per_year_sqrt,mileage_times_age,mileage_sqrt_times_age,horsepower_times_cylinder_count,capacity_mileage_interaction,age_squared,mileage_binned,log_mileage,log_capacity,capacity_binned,horsepower_binned,age_binned,trans_num,brand_enc
Toyota,Camry Hybrid Base,2007,Hybrid,Automatic,silver,gray,1,1,9250.0,17.0,2.4,147.0,4.0,3132.294117647059,230.75744841716377,102237.85714285714,6013.991596638655,85355.04020100503,53249,economy,9.132486932771318,61.25,196,2,30128.44387755102,8575.0,55.96690198364618,905233.0,905233.0,588.0,553.817876201193,289.0,Medium,10.882753083571671,1.2237754316221157,2.0,326.40237324703344,15.0,1.0,0.0
GMC,Acadia SLT-1,2016,Gasoline,Automatic,other,other,0,1,12500.0,8.0,3.6,281.0,6.0,14875.0,344.9637662132068,77407.10820895522,9675.888526119405,77785.79120879121,119000,economy,9.433563920090563,78.05555555555556,89,4,35812.77528089887,13350.0,121.96310917650467,952000.0,952000.0,1686.0,1241.8695583675444,64.0,High,11.686887175419702,1.5260563034950492,4.0,300.0,9.0,1.0,0.0
Lincoln,Corsair Reserve,2021,Gasoline,Automatic,black,other,0,0,36999.0,3.0,2.0,331.5158054711246,4.0,9778.666666666666,171.27755252805312,28360.137142857144,9453.379047619048,72107.90384615384,29336,luxury,10.51867319162636,165.7579027355623,52,1,28330.884615384617,36999.0,98.88714105821174,88008.0,88008.0,1326.0632218844985,342.55510505610624,9.0,Low,10.286604796980384,1.0986122886681098,2.0,300.0,3.0,1.0,1.0
RAM,2500 SLT,2017,Diesel,Automatic,gray,gray,1,1,41000.0,7.0,6.7,350.0,6.0,12285.714285714286,293.2575659723036,69980.33204633204,9997.19029233315,54288.72527472527,86000,economy,10.62135173563291,52.23880597014925,91,4,43029.16483516483,36625.0,110.84094137869042,602000.0,602000.0,2100.0,1964.8256920144343,49.0,Medium,11.362114203075018,2.0412203288596382,6.0,300.0,9.0,1.0,0.0
RAM,3500 Laramie,2014,Diesel,Automatic,black,other,1,1,40500.0,10.0,6.7,385.0,6.0,17700.0,420.7136793592526,87789.31491712708,8778.931491712709,54288.72527472527,177000,economy,10.609081944147828,57.46268656716418,91,3,43029.16483516483,51466.333333333336,133.04134695650072,1770000.0,1770000.0,2310.0,2818.7816517069923,100.0,Very High,12.083910661257521,2.0412203288596382,6.0,400.0,9.0,1.0,0.0
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,Gasoline,Automatic,black,black,1,1,15900.0,11.0,4.6,362.0,8.0,8500.0,305.7776970284131,90750.0506329114,8250.004602991945,55646.61587301587,93500,luxury,9.674137279312395,78.69565217391305,311,6,50615.3922829582,18564.333333333332,92.19544457292888,1028500.0,1028500.0,2896.0,1406.5774063307001,121.0,Medium,11.445727410406752,1.7227665977411035,4.0,400.0,9.0,1.0,1.0
BMW,M5 Base,2018,Gasoline,Tiptronic,red,white,1,1,54999.0,6.0,4.4,600.0,8.0,7950.0,218.4032966784156,51231.86349206349,8538.643915343915,57200.99733333333,47700,luxury,10.915088464214609,136.36363636363635,367,13,40750.226158038146,53953.769230769234,89.16277250063504,286200.0,286200.0,4800.0,960.9745053850287,36.0,Low,10.77270764101727,1.6863989535702288,4.0,600.0,3.0,1.0,1.0
Ford,Mustang SVT Cobra,2003,Gasoline,Manual,gray,gray,0,0,24500.0,21.0,4.6,390.0,8.0,4642.666666666667,312.24349472807273,105671.51020408164,5031.976676384839,72295.46113989638,97496,economy,10.106469212026385,84.78260869565219,373,2,34457.067024128686,30000.0,68.13711665947325,2047416.0,2047416.0,3120.0,1436.3200757491345,441.0,Medium,11.487576887281786,1.7227665977411035,4.0,400.0,21.0,0.0,0.0
Acura,ILX Premium Package,2022,Gasoline,Tiptronic,gray,other,0,0,26599.0,2.0,2.4,331.5158054711246,4.0,8060.0,126.96456198483102,15360.254237288136,7680.127118644068,74823.703125,16120,luxury,10.188666494769793,138.1315856129686,64,3,28034.078125,24532.666666666668,89.77750274985377,32240.0,32240.0,1326.0632218844985,304.71494876359446,4.0,Low,9.687878048875998,1.2237754316221157,2.0,300.0,3.0,1.0,1.0
Buick,Rainier CXL,2005,Gasoline,Automatic,white,other,1,1,2800.0,19.0,4.2,275.0,6.0,7767.842105263157,384.1731380510615,112124.98611111112,5901.315058479532,78928.5,147589,economy,7.937731775260109,65.47619047619047,30,1,20357.666666666668,2800.0,88.13536239934092,2804191.0,2804191.0,1650.0,1613.5271798144586,361.0,High,11.902193438175821,1.6486586255873816,4.0,300.0,21.0,1.0,0.0
Cadillac,Escalade Luxury,2013,Flex Fuel,Automatic,black,black,1,1,22000.0,11.0,6.2,403.0,8.0,8688.181818181818,309.14397940118454,90750.0506329114,8250.004602991945,71163.79439252337,95570,luxury,9.99884318585288,65.0,105,4,37238.31428571429,28762.25,93.2104168973716,1051270.0,1051270.0,3224.0,1916.6926722873443,121.0,Medium,11.467624705740064,1.9740810260220096,6.0,400.0,9.0,1.0,1.0
Mercedes-Benz,S-Class S 560,2018,Gasoline,Automatic,gray,gray,0,1,52000.0,6.0,4.0,463.0,8.0,7631.833333333333,213.9883174381256,51231.86349206349,8538.643915343915,55646.61587301587,45791,luxury,10.859018228147889,115.75,311,2,50615.3922829582,50999.0,87.36036477335321,274746.0,274746.0,3704.0,855.9532697525024,36.0,Low,10.731864682356177,1.6094379124341003,4.0,500.0,3.0,1.0,1.0
INFINITI,QX80 Base,2016,Gasoline,Automatic,silver,other,1,1,25950.0,8.0,5.6,400.0,8.0,7500.0,244.94897427831785,77407.10820895522,9675.888526119405,82025.79661016949,60000,luxury,10.163965423497029,71.42857142857143,59,5,22927.64406779661,23385.0,86.60254037844386,480000.0,480000.0,3200.0,1371.7142559585798,64.0,Medium,11.002116507732017,1.8870696490323797,6.0,400.0,9.0,1.0,1.0
Buick,Encore Preferred,2019,Gasoline,Automatic,white,black,0,1,18795.0,5.0,1.4,138.0,4.0,10000.0,223.60679774997897,45674.79797979798,9134.959595959595,78928.5,50000,economy,9.841399360222706,98.57142857142858,30,1,20357.666666666668,18795.0,100.0,250000.0,250000.0,552.0,313.04951684997053,25.0,Low,10.819798284210286,0.8754687373538999,2.0,326.40237324703344,3.0,1.0,0.0
Mercedes-Benz,GLS 450 Base 4MATIC,2019,Gasoline,Automatic,black,other,0,0,43999.0,5.0,3.0,331.5158054711246,6.0,6696.2,182.9781407709675,45674.79797979798,9134.959595959595,55646.61587301587,33481,luxury,10.691944912900398,110.50526849037487,311,7,50615.3922829582,46028.142857142855,81.83031223208182,167405.0,167405.0,1989.0948328267477,548.9344223129026,25.0,Low,10.41876325997573,1.3862943611198906,2.0,300.0,3.0,1.0,1.0
Jeep,Liberty Limited,2010,Gasoline,Automatic,gray,gray,0,1,5900.0,14.0,3.7,210.0,6.0,7642.857142857143,327.10854467592253,103192.29,7370.877857142857,66352.13986013985,107000,economy,8.682877107057168,56.75675675675675,143,1,31099.79020979021,5900.0,87.4234358902528,1498000.0,1498000.0,1260.0,1210.3016153009135,196.0,High,11.580593459194764,1.547562508716013,4.0,200.0,15.0,1.0,0.0
Mercedes-Benz,S-Class S 63 AMG,2011,Gasoline,Automatic,white,black,1,1,37000.0,13.0,5.5,536.0,8.0,4615.384615384615,244.94897427831785,114793.08870967742,8830.237593052108,55646.61587301587,60000,luxury,10.518700218288163,97.45454545454545,311,6,50615.3922829582,43316.333333333336,67.93662204867574,780000.0,780000.0,4288.0,1347.2193585307482,169.0,Medium,11.002116507732017,1.8718021769015913,6.0,500.0,15.0,1.0,1.0
Audi,A8 L 3.0T,2016,Gasoline,Automatic,white,other,0,1,28000.0,8.0,3.0,333.0,6.0,6875.0,234.5207879911715,77407.10820895522,9675.888526119405,57713.305,55000,luxury,10.239995502805316,111.0,194,1,39783.49484536082,28000.0,82.915619758885,440000.0,440000.0,1998.0,703.5623639735145,64.0,Medium,10.915106645867503,1.3862943611198906,2.0,300.0,9.0,1.0,1.0
Mazda,CX-30 2.5 S Select Package,2022,Gasoline,Automatic,black,black,0,1,25500.0,2.0,2.5,186.0,4.0,2002.0,63.2771680782255,15360.254237288136,7680.127118644068,64679.890625,4004,economy,10.146472946063875,74.4,63,1,19487.571428571428,25500.0,44.74371464239419,8008.0,8008.0,744.0,158.19292019556374,4.0,Low,8.29529885950246,1.252762968495368,2.0,200.0,3.0,1.0,0.0
Bentley,Continental GT Speed,2009,Gasoline,Automatic,blue,other,0,0,59400.0,15.0,6.0,600.0,2.0,3853.3333333333335,240.41630560342617,102937.43055555556,6862.49537037037,29338.78787878788,57800,luxury,10.992066340225865,100.0,33,2,137553.54545454544,204675.0,62.07522318391883,867000.0,867000.0,1200.0,1442.497833620557,225.0,Medium,10.96476135554887,1.9459101490553132,6.0,600.0,15.0,1.0,1.0
Bentley,Continental GT V8,2022,Gasoline,Tiptronic,red,black,0,1,217950.0,2.0,4.0,331.5158054711246,8.0,5486.0,104.747315001388,15360.254237288136,7680.127118644068,29338.78787878788,10972,luxury,12.292025545864318,82.87895136778116,33,3,137553.54545454544,225480.33333333334,74.06753674856482,21944.0,21944.0,2652.126443768997,418.989260005552,4.0,Low,9.3031929889908,1.6094379124341003,4.0,300.0,3.0,1.0,1.0
Bentley,Flying Spur V8,2022,Gasoline,Tiptronic,other,other,0,1,197750.0,2.0,4.0,331.5158054711246,8.0,13929.0,166.9071598224594,15360.254237288136,7680.127118644068,29338.78787878788,27858,luxury,12.194763942507128,82.87895136778116,33,1,137553.54545454544,197750.0,118.02118453904791,55716.0,55716.0,2652.126443768997,667.6286392898376,4.0,Low,10.234911352935114,1.6094379124341003,4.0,300.0,3.0,1.0,1.0
Porsche,911 Carrera 4S,2018,Gasoline,Other,silver,other,0,0,106798.0,6.0,3.0,331.5158054711246,5.778607628700987,5279.666666666667,177.98314526943275,51231.86349206349,8538.643915343915,43569.80099502488,31678,luxury,11.578703842168515,110.50526849037487,189,9,76482.62962962964,79528.0,72.6613147876273,190068.0,190068.0,1915.6997625303932,533.9494358082983,36.0,Low,10.36340927977359,1.3862943611198906,2.0,300.0,3.0,0.0,1.0
Volkswagen,Golf R 4-Door,2016,Gasoline,Manual,blue,black,0,1,29950.0,8.0,2.0,292.0,4.0,5893.0,217.12669112755344,77407.10820895522,9675.888526119405,65410.16949152543,47144,economy,10.307317991967832,146.0,56,2,21518.071428571428,24975.0,76.76587783644501,377152.0,377152.0,1168.0,434.2533822551069,64.0,Low,10.760983237899778,1.0986122886681098,2.0,300.0,9.0,0.0,0.0
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,Gasoline,Automatic,gray,black,1,1,4000.0,13.0,3.8,306.0,6.0,12727.23076923077,406.7603717177965,114793.08870967742,8830.237593052108,66143.98611111111,165454,economy,8.294299608857235,80.52631578947368,69,2,18434.434782608696,10250.0,112.81502900425444,2150902.0,2150902.0,1836.0,1545.6894125276265,169.0,Very High,12.01645453350358,1.5686159179138452,4.0,300.0,15.0,1.0,0.0
Ford,F-150 XLT,2018,Gasoline,Automatic,white,other,1,1,25500.0,6.0,3.5,375.0,6.0,16333.333333333334,313.04951684997053,51231.86349206349,8538.643915343915,72295.46113989638,98000,economy,10.146472946063875,107.14285714285714,373,24,34457.067024128686,36340.708333333336,127.80193008453877,588000.0,588000.0,2250.0,1095.6733089748968,36.0,Medium,11.49273296168228,1.5040773967762742,4.0,400.0,3.0,1.0,0.0
Hyundai,Tucson Limited,2020,Gasoline,Automatic,black,other,0,0,22749.0,4.0,2.4,331.5158054711246,4.0,9978.25,199.78238160558604,35051.801242236026,8762.950310559007,66143.98611111111,39913,economy,10.032320424379096,138.1315856129686,69,3,18434.434782608696,12529.666666666666,99.89119080279302,159652.0,159652.0,1326.0632218844985,479.4777158534065,16.0,Low,10.59448241852793,1.2237754316221157,2.0,300.0,3.0,1.0,0.0
Ford,Mustang V6,2013,Gasoline,Automatic,blue,black,1,1,12990.0,11.0,3.7,305.0,6.0,13381.0,383.6547927499408,90750.0506329114,8250.004602991945,72295.46113989638,147191,economy,9.472012088995733,82.43243243243244,373,4,34457.067024128686,18934.5,115.67627241573788,1619101.0,1619101.0,1830.0,1419.522733174781,121.0,High,11.899493135973929,1.547562508716013,4.0,300.0,9.0,1.0,0.0
BMW,435 i,2014,Gasoline,Tiptronic,silver,black,0,1,25980.0,10.0,3.0,300.0,6.0,5360.0,231.5167380558045,87789.31491712708,8778.931491712709,57200.99733333333,53600,luxury,10.16512078063086,100.0,367,5,40750.226158038146,21575.0,73.2120208708925,536000.0,536000.0,1800.0,694.5502141674135,100.0,Medium,10.889323003601277,1.3862943611198906,2.0,300.0,9.0,1.0,1.0
Dodge,Challenger R/T,2010,Gasoline,Automatic,other,black,0,1,17000.0,14.0,5.7,372.0,8.0,7150.0,316.3858403911275,103192.29,7370.877857142857,88301.34444444445,100100,economy,9.741027444837728,65.26315789473684,89,5,29382.629213483146,23350.0,84.55767262643882,1401400.0,1401400.0,2976.0,1803.3992902294267,196.0,High,11.513934955263402,1.9021075263969205,6.0,400.0,15.0,1.0,0.0
Mercedes-Benz,AMG G 63 Base,2020,Gasoline,Automatic,blue,black,0,1,199995.0,4.0,4.0,577.0,8.0,437.5,41.83300132670378,35051.801242236026,8762.950310559007,55646.61587301587,1750,luxury,12.206052645330171,144.25,311,5,50615.3922829582,129178.6,20.91650066335189,7000.0,7000.0,4616.0,167.33200530681512,16.0,Low,7.467942332285852,1.6094379124341003,4.0,600.0,3.0,1.0,1.0
